Age,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,DistanceFromHome,OverTime,Attrition
50,16307,23,8,3,1,22,No,No
36,12080,21,0,1,4,15,No,No
29,11191,19,7,9,2,21,No,No
42,9994,16,14,6,4,15,No,No
40,6812,29,1,7,2,22,No,No
44,3824,19,11,1,1,28,No,No
32,5641,4,7,4,1,14,No,No
32,4310,29,12,0,1,27,No,Yes
45,9088,28,2,6,2,28,No,No
57,7801,18,5,7,3,26,No,No
45,17985,2,2,5,2,2,No,No
24,14214,1,13,4,3,25,Yes,No
43,7248,15,6,5,2,3,Yes,No
23,11935,5,9,1,2,8,No,No
45,6209,20,8,0,1,33,Yes,Yes
51,15616,11,1,6,4,35,Yes,Yes
59,12076,10,14,6,4,6,No,Yes
23,12650,2,11,9,3,39,Yes,No
42,9030,3,11,9,4,23,Yes,Yes
54,12688,23,14,1,2,25,No,No
33,17183,23,13,1,2,19,Yes,No
43,3004,12,4,0,1,5,No,No
46,3714,20,12,9,1,11,No,No
48,4031,5,5,7,4,12,No,No
49,3323,5,3,7,3,10,Yes,No
37,19812,6,3,0,4,8,No,No
36,7529,9,3,7,4,24,No,Yes
24,15928,2,1,8,4,28,No,No
58,19017,21,3,3,4,36,No,No
28,4605,12,10,0,2,37,No,Yes
42,6127,3,0,0,3,21,No,No
30,15472,20,11,2,2,8,No,No
39,4352,26,5,4,3,9,No,No
25,7410,22,0,4,1,15,No,No
46,13503,12,9,8,4,18,No,No
35,16343,24,5,9,2,20,Yes,Yes
30,14204,17,0,1,3,6,No,No
47,18261,10,5,1,1,12,Yes,No
23,8690,24,9,5,1,2,Yes,No
41,8145,27,7,8,4,7,Yes,No
49,12088,14,10,0,3,16,No,No
28,14329,23,1,8,2,3,No,No
29,10553,17,1,8,4,3,Yes,No
56,5830,18,13,8,2,27,Yes,Yes
35,11162,19,14,4,1,38,No,No
38,9614,17,12,8,2,33,No,No
57,15823,14,11,3,2,28,No,Yes
25,3853,9,3,1,4,1,No,No
23,13475,8,10,5,2,8,No,No
27,13523,2,2,3,4,37,Yes,No
25,3167,13,3,5,1,32,No,Yes
50,11837,25,12,2,4,37,No,No
39,16159,7,11,5,4,4,Yes,No
47,6219,9,6,1,3,30,No,No
55,9983,22,12,1,2,6,Yes,Yes
31,3039,22,10,8,1,19,No,No
57,7464,11,0,6,4,32,No,No
35,7335,14,5,2,1,9,No,No
52,8542,4,14,0,3,12,No,No
36,17337,26,14,7,2,11,No,No
29,9812,26,2,5,4,16,Yes,No
35,7820,29,10,6,2,1,Yes,Yes
44,15716,13,9,8,3,21,No,No
42,5279,2,6,4,3,30,No,Yes
37,19808,23,9,0,1,13,Yes,No
39,4081,5,1,9,4,34,No,Yes
45,15177,11,13,6,1,4,Yes,No
47,8213,6,1,4,3,28,No,No
46,19139,18,12,2,2,38,Yes,No
50,7304,21,3,8,1,31,No,Yes
36,12636,10,0,0,1,27,No,No
22,2509,4,2,0,2,5,Yes,No
46,7624,9,12,0,1,25,No,No
28,3515,6,8,2,2,3,No,No
30,4693,2,6,5,4,33,Yes,No
45,10915,17,14,9,2,4,Yes,No
22,16050,5,6,2,4,25,Yes,No
29,17012,25,12,7,2,20,Yes,No
45,6658,6,12,9,3,34,No,No
32,9470,26,10,1,3,26,No,No
38,9438,12,3,8,4,5,No,Yes
29,16272,23,1,2,4,35,Yes,Yes
56,12844,21,14,4,3,28,Yes,Yes
56,9766,10,13,9,4,29,Yes,No
54,11202,22,3,7,2,9,No,No
26,2884,21,5,1,2,38,No,No
49,2904,27,10,5,3,6,Yes,No
28,10675,25,10,4,1,19,No,Yes
30,17658,6,2,9,2,11,No,No
29,15263,27,0,8,4,2,No,No
33,12360,8,13,4,1,9,No,No
55,8489,2,11,1,1,21,No,Yes
54,17606,12,7,4,2,24,No,No
44,6136,13,11,3,2,34,No,No
45,13416,25,12,6,1,22,No,No
58,7309,21,4,5,1,3,Yes,No
56,15956,7,14,1,3,12,No,No
43,17944,10,4,4,4,28,Yes,No
48,8497,13,10,6,3,30,No,No
56,4548,17,3,6,2,26,Yes,No
22,14838,26,5,4,3,21,No,No
56,19600,21,2,8,3,28,No,No
58,7044,28,8,3,3,26,No,No
35,7476,26,4,2,3,33,Yes,No
24,15275,14,2,3,4,21,No,No
22,12515,2,10,4,4,35,No,No
26,5919,28,0,5,1,34,No,No
47,16930,22,9,2,2,18,Yes,Yes
35,9739,11,11,1,3,11,No,No
48,16989,1,5,3,1,23,Yes,No
30,19133,19,14,4,1,22,Yes,No
36,12857,21,1,3,1,17,No,No
36,19654,4,12,2,4,5,No,No
47,6863,19,2,7,3,11,No,No
34,12676,26,0,9,3,30,No,No
53,19961,29,8,3,2,15,No,No
53,10927,21,7,1,3,27,No,No
25,11080,11,11,1,3,35,No,No
51,7358,8,1,0,1,33,No,No
58,12540,11,14,3,2,20,Yes,No
44,17754,4,11,9,3,16,No,No
36,13970,17,10,8,4,34,No,Yes
50,3752,27,7,6,3,2,Yes,No
57,9496,7,11,9,1,35,No,Yes
34,14673,8,13,6,4,28,No,No
53,7173,3,8,6,1,39,No,Yes
28,18281,22,0,7,3,6,No,Yes
43,15551,2,12,0,4,9,No,No
49,9381,23,4,9,2,20,No,No
23,9449,15,7,9,2,1,No,No
27,12021,24,14,7,4,8,No,No
49,10517,22,10,3,4,23,No,No
49,9441,22,13,3,1,3,Yes,No
41,12709,5,1,3,4,4,Yes,No
51,12050,24,3,5,1,25,No,No
32,7137,1,6,6,3,38,No,No
49,7354,26,2,5,1,15,No,No
46,12820,4,12,0,4,21,No,No
54,7392,15,11,7,4,35,Yes,No
22,9543,20,4,9,3,14,Yes,No
48,19021,19,7,6,4,36,No,No
34,6664,3,11,5,4,12,Yes,No
24,10441,20,9,5,2,17,Yes,No
27,16888,11,2,4,2,39,Yes,No
29,8069,17,3,5,3,9,No,No
48,6800,27,13,8,1,35,No,No
30,8769,13,14,9,2,13,Yes,No
58,6318,11,8,8,1,15,No,No
54,14515,2,13,9,4,18,No,No
45,14734,9,13,7,2,33,No,No
36,8754,26,6,9,3,6,Yes,No
53,19644,2,0,8,3,27,No,No
53,9850,21,13,9,3,23,No,No
45,17683,9,11,7,2,27,No,Yes
33,8738,9,3,7,1,34,No,No
23,8590,8,3,0,4,38,Yes,No
24,14137,17,8,9,1,14,No,No
58,15147,1,5,4,1,36,No,No
38,12411,25,8,3,4,8,Yes,No
23,10972,29,11,1,4,35,No,No
23,5766,11,14,7,2,19,Yes,No
49,3166,8,5,2,2,30,No,Yes
44,6688,10,5,3,2,14,No,No
58,19555,25,4,6,2,20,No,No
53,12661,7,4,9,2,25,No,No
54,13814,3,1,8,4,24,No,No
22,15391,3,7,1,1,14,No,No
